#1	
double	presence(8760,2)
4186800	0.172
4190400	0.345
4194000	0.517
4197600	0.345
4201200	0.379
4204800	0.345
4208400	0.448
4212000	0.483
4215600	0.69
4219200	0.862
4222800	0.862
4226400	1
4230000	1
4233600	0.966
4237200	0.966
4240800	0.966
4244400	1
4248000	1
4251600	0.966
4255200	0.822
4258800	0.724
4262400	0.655
4266000	0.552
4269600	0.448
4273200	0.31
4276800	0.586
4280400	0.655
4284000	0.552
4287600	0.483
4291200	0.448
4294800	0.483
4298400	0.517
4302000	0.69
4305600	0.759
4309200	0.793
4312800	0.793
4316400	0.966
4320000	0.966
4323600	0.966
4327200	0.966
4330800	1
4334400	1
4338000	0.966
4341600	0.822
4345200	0.724
4348800	0.655
4352400	0.552
4356000	0.448
4359600	0.31
4363200	0.586
4366800	0.655
4370400	0.552
4374000	0.483
4377600	0.448
4381200	0.483
4384800	0.517
4388400	0.69
4392000	0.759
4395600	0.793
4399200	0.793
4402800	0.966
4406400	1
4410000	1
4413600	1
4417200	1
4420800	1
4424400	1
4428000	0.862
4431600	0.621
4435200	0.483
4438800	0.172
4442400	0.207
4446000	0.172
4449600	0.345
4453200	0.517
4456800	0.345
4460400	0.379
4464000	0.345
4467600	0.448
4471200	0.483
4474800	0.69
4478400	0.862
4482000	0.862
4485600	1
4489200	1
4492800	1
4496400	1
4500000	1
4503600	1
4507200	1
4510800	1
4514400	0.862
4518000	0.621
4521600	0.483
4525200	0.172
4528800	0.207
4532400	0.172
4536000	0.345
4539600	0.517
4543200	0.345
4546800	0.379
4550400	0.345
4554000	0.448
4557600	0.483
4561200	0.69
4564800	0.862
4568400	0.862
4572000	1
4575600	1
4579200	1
4582800	1
4586400	1
4590000	1
4593600	1
4597200	1
4600800	0.862
4604400	0.621
4608000	0.483
4611600	0.172
4615200	0.207
4618800	0.172
4622400	0.345
4626000	0.517
4629600	0.345
4633200	0.379
4636800	0.345
4640400	0.448
4644000	0.483
4647600	0.69
4651200	0.862
4654800	0.862
4658400	1
4662000	1
4665600	1
4669200	1
4672800	1
4676400	1
4680000	1
4683600	1
4687200	0.862
4690800	0.621
4694400	0.483
4698000	0.172
4701600	0.207
4705200	0.172
4708800	0.345
4712400	0.517
4716000	0.345
4719600	0.379
4723200	0.345
4726800	0.448
4730400	0.483
4734000	0.69
4737600	0.862
4741200	0.862
4744800	1
4748400	1
4752000	1
4755600	1
4759200	1
4762800	1
4766400	1
4770000	1
4773600	0.862
4777200	0.621
4780800	0.483
4784400	0.172
4788000	0.207
4791600	0.172
4795200	0.345
4798800	0.517
4802400	0.345
4806000	0.379
4809600	0.345
4813200	0.448
4816800	0.483
4820400	0.69
4824000	0.862
4827600	0.862
4831200	1
4834800	1
4838400	0.966
4842000	0.966
4845600	0.966
4849200	1
4852800	1
4856400	0.966
4860000	0.822
4863600	0.724
4867200	0.655
4870800	0.552
4874400	0.448
4878000	0.31
4881600	0.586
4885200	0.655
4888800	0.552
4892400	0.483
4896000	0.448
4899600	0.483
4903200	0.517
4906800	0.69
4910400	0.759
4914000	0.793
4917600	0.793
4921200	0.966
4924800	0.966
4928400	0.966
4932000	0.966
4935600	1
4939200	1
4942800	0.966
4946400	0.822
4950000	0.724
