#1	
double	Pel(1441,2)
3668400	139.3
3672000	142.0
3675600	157.8
3679200	152.7
3682800	131.8
3686400	118.8
3690000	114.8
3693600	122.5
3697200	142.2
3700800	165.2
3704400	166.6
3708000	157.5
3711600	144.5
3715200	112.1
3718800	73.6
3722400	54.8
3726000	49.8
3729600	46.9
3733200	48.8
3736800	59.3
3740400	97.9
3744000	129.7
3747600	141.6
3751200	144.1
3754800	139.3
3758400	142.0
3762000	157.8
3765600	152.7
3769200	131.8
3772800	118.8
3776400	114.8
3780000	122.5
3783600	142.2
3787200	165.2
3790800	166.6
3794400	157.5
3798000	144.5
3801600	112.1
3805200	73.6
3808800	54.8
3812400	49.8
3816000	46.9
3819600	48.8
3823200	59.3
3826800	97.9
3830400	129.7
3834000	141.6
3837600	144.1
3841200	139.3
3844800	142.0
3848400	157.8
3852000	152.7
3855600	131.8
3859200	118.8
3862800	114.8
3866400	122.5
3870000	142.2
3873600	165.2
3877200	166.6
3880800	157.5
3884400	144.5
3888000	112.1
3891600	89.6
3895200	66.65
3898800	54.475
3902400	50.6
3906000	49.975
3909600	48.775
3913200	51.325
3916800	69.5
3920400	112.45
3924000	160.25
3927600	186.6
3931200	205.725
3934800	209.45
3938400	175.375
3942000	144.075
3945600	124.375
3949200	108.375
3952800	109.55
3956400	126.65
3960000	152.025
3963600	159.425
3967200	150.5
3970800	140.2
3974400	108.075
3978000	89.6
3981600	66.65
3985200	54.475
3988800	50.6
3992400	49.975
3996000	48.775
3999600	51.325
4003200	69.5
4006800	112.45
4010400	160.25
4014000	186.6
4017600	205.725
4021200	209.45
4024800	175.375
4028400	144.075
4032000	124.375
4035600	108.375
4039200	109.55
4042800	126.65
4046400	152.025
4050000	159.425
4053600	150.5
4057200	140.2
4060800	108.075
4064400	89.6
4068000	66.65
4071600	54.475
4075200	50.6
4078800	49.975
4082400	48.775
4086000	51.325
4089600	69.5
4093200	112.45
4096800	160.25
4100400	186.6
4104000	205.725
4107600	209.45
4111200	175.375
4114800	144.075
4118400	124.375
4122000	108.375
4125600	109.55
4129200	126.65
4132800	152.025
4136400	159.425
4140000	150.5
4143600	140.2
4147200	108.075
4150800	89.6
4154400	66.65
4158000	54.475
4161600	50.6
4165200	49.975
4168800	48.775
4172400	51.325
4176000	69.5
4179600	112.45
4183200	160.25
4186800	186.6
4190400	205.725
4194000	209.45
4197600	175.375
4201200	144.075
4204800	124.375
4208400	108.375
4212000	109.55
4215600	126.65
4219200	152.025
4222800	159.425
4226400	150.5
4230000	140.2
4233600	108.075
4237200	89.6
4240800	66.65
4244400	54.475
4248000	50.6
4251600	49.975
4255200	48.775
4258800	51.325
4262400	69.5
4266000	112.45
4269600	160.25
4273200	186.6
4276800	205.725
4280400	209.45
4284000	175.375
4287600	144.075
4291200	124.375
4294800	108.375
4298400	109.55
4302000	126.65
4305600	152.025
4309200	159.425
4312800	150.5
4316400	140.2
4320000	108.075
4323600	84.3
4327200	62.2
4330800	48.9
4334400	44.3
4338000	43.2
4341600	43.3
4345200	45.7
4348800	65.6
4352400	111.2
4356000	159.5
4359600	185.1
4363200	205.2
4366800	207.8
4370400	168.6
4374000	136.3
4377600	121.0
4381200	107.3
4384800	111.8
4388400	137.6
4392000	160.9
4395600	154.8
4399200	143.9
4402800	127.6
4406400	94.0
4410000	84.3
4413600	62.2
4417200	48.9
4420800	44.3
4424400	43.2
4428000	43.3
4431600	45.7
4435200	65.6
4438800	111.2
4442400	159.5
4446000	185.1
4449600	205.2
4453200	207.8
4456800	168.6
4460400	136.3
4464000	121.0
4467600	107.3
4471200	111.8
4474800	137.6
4478400	160.9
4482000	154.8
4485600	143.9
4489200	127.6
4492800	94.0
4496400	84.3
4500000	62.2
4503600	48.9
4507200	44.3
4510800	43.2
4514400	43.3
4518000	45.7
4521600	65.6
4525200	111.2
4528800	159.5
4532400	185.1
4536000	205.2
4539600	207.8
4543200	168.6
4546800	136.3
4550400	121.0
4554000	107.3
4557600	111.8
4561200	137.6
4564800	160.9
4568400	154.8
4572000	143.9
4575600	127.6
4579200	94.0
4582800	84.3
4586400	62.2
4590000	48.9
4593600	44.3
4597200	43.2
4600800	43.3
4604400	45.7
4608000	65.6
4611600	111.2
4615200	159.5
4618800	185.1
4622400	205.2
4626000	207.8
4629600	168.6
4633200	136.3
4636800	121.0
4640400	107.3
4644000	111.8
4647600	137.6
4651200	160.9
4654800	154.8
4658400	143.9
4662000	127.6
4665600	94.0
4669200	84.3
4672800	62.2
4676400	48.9
4680000	44.3
4683600	43.2
4687200	43.3
4690800	45.7
4694400	65.6
4698000	111.2
4701600	159.5
4705200	185.1
4708800	205.2
4712400	207.8
4716000	168.6
4719600	136.3
4723200	121.0
4726800	107.3
4730400	111.8
4734000	137.6
4737600	160.9
4741200	154.8
4744800	143.9
4748400	127.6
4752000	94.0
4755600	73.6
4759200	54.8
4762800	49.8
4766400	46.9
4770000	48.8
4773600	59.3
4777200	97.9
4780800	129.7
4784400	141.6
4788000	144.1
4791600	139.3
4795200	142.0
4798800	157.8
4802400	152.7
4806000	131.8
4809600	118.8
4813200	114.8
4816800	122.5
4820400	142.2
4824000	165.2
4827600	166.6
4831200	157.5
4834800	144.5
4838400	112.1
4842000	73.6
4845600	54.825
4849200	49.775
