#1	
double	presence(1441,2)
4942800	1
4946400	1
4950000	0.931
4953600	0.8105
4957200	0.7415
4960800	0.586
4964400	0.6035
4968000	0.586
4971600	0.6725
4975200	0.7585
4978800	0.6725
4982400	0.6895
4986000	0.6725
4989600	0.724
4993200	0.7415
4996800	0.845
5000400	0.931
5004000	0.931
5007600	0.931
5011200	1
5014800	1
5018400	1
5022000	1
5025600	1
5029200	1
5032800	1
5036400	0.931
5040000	0.8105
5043600	0.7415
5047200	0.586
5050800	0.6035
5054400	0.586
5058000	0.6725
5061600	0.7585
5065200	0.6725
5068800	0.6895
5072400	0.6725
5076000	0.724
5079600	0.7415
5083200	0.845
5086800	0.931
5090400	0.931
5094000	0.931
5097600	1
5101200	1
5104800	1
5108400	1
5112000	1
5115600	1
5119200	1
5122800	0.931
5126400	0.8105
5130000	0.7415
5133600	0.586
5137200	0.6035
5140800	0.586
5144400	0.6725
5148000	0.7585
5151600	0.6725
5155200	0.6895
5158800	0.6725
5162400	0.724
5166000	0.7415
5169600	0.845
5173200	0.931
5176800	0.931
5180400	0.931
5184000	1
