#1	
double	Pel(35040,2)
1343700	225.14
1344600	210.79
1345500	197.16
1346400	185.17
1347300	174.99
1348200	166.45
1349100	159.39
1350000	153.7
1350900	148.81
1351800	144.6
1352700	140.47
1353600	136.46
1354500	133.42
1355400	132.54
1356300	135.3
1357200	142.24
1358100	152.34
1359000	163.76
1359900	175.11
1360800	184.93
1361700	193.39
1362600	201.21
1363500	208.62
1364400	216.08
1365300	222.21
1366200	225.62
1367100	224.38
1368000	217.85
1368900	207.5
1369800	196
1370700	185.57
1371600	178.12
1372500	172.82
1373400	168.46
1374300	163.52
1375200	157.23
1376100	149.41
1377000	140.59
1377900	131.01
1378800	121.19
1379700	111.37
1380600	101.67
1381500	92.21
1382400	85.15
1383300	76.61
1384200	69.19
1385100	62.9
1386000	58.21
1386900	54.92
1387800	52.8
1388700	51.39
1389600	50.55
1390500	49.87
1391400	49.63
1392300	49.27
1393200	48.87
1394100	48.63
1395000	48.27
1395900	48.27
1396800	48.39
1397700	48.87
1398600	49.55
1399500	50.39
1400400	51.55
1401300	54.32
1402200	60.13
1403100	70.28
1404000	85.67
1404900	104.31
1405800	123.47
1406700	140.47
1407600	153.18
1408500	161.92
1409400	167.21
1410300	169.82
1411200	170.58
1412100	169.82
1413000	167.69
1413900	164.69
1414800	160.88
1415700	156.95
1416600	153.1
1417500	149.89
1418400	147.81
1419300	146.37
1420200	145.76
1421100	145.76
1422000	146.29
1422900	147.41
1423800	149.57
1424700	153.1
1425600	157.99
1426500	163.28
1427400	167.53
1428300	169.82
1429200	169.06
1430100	165.93
1431000	161.24
1431900	156.23
1432800	151.42
1433700	147.13
1434600	143.28
1435500	139.47
1436400	135.94
1437300	132.94
1438200	130.41
1439100	129.01
1440000	128.77
1440900	130.01
1441800	133.02
1442700	138.47
1443600	146.13
1444500	155.87
1445400	167.05
1446300	179.28
1447200	191.99
1448100	204.33
1449000	215.68
1449900	225.38
1450800	232.72
1451700	237.09
1452600	238.01
1453500	234.8
1454400	227.67
1455300	217.6
1456200	206.5
1457100	196.04
1458000	187.62
1458900	180.64
1459800	174.35
1460700	167.81
1461600	160.24
1462500	151.82
1463400	142.76
1464300	133.18
1465200	123.47
1466100	113.61
1467000	103.95
1467900	94.37
1468800	85.15
1469700	76.57
1470600	69.19
1471500	62.9
1472400	58.21
1473300	54.92
1474200	52.8
1475100	51.39
1476000	50.55
1476900	49.87
1477800	49.63
1478700	49.27
1479600	48.87
1480500	48.63
1481400	48.27
1482300	48.27
1483200	48.39
1484100	48.87
1485000	49.55
1485900	50.39
1486800	51.55
1487700	54.32
1488600	60.09
1489500	70.28
1490400	85.67
1491300	104.31
1492200	123.43
1493100	140.47
1494000	153.18
1494900	161.88
1495800	167.17
1496700	169.82
1497600	170.58
1498500	169.82
1499400	167.69
